zoneName,zoneNumber,mobNumber,mobName,mobKeywords,mobShortDesc,mobLongDesc,actionFlags,affectedByFlags,mobAlignment,mobLetter,mobLevel,mobHitroll,mobArmor,mobHPDieNumber,mobHPDieSize,mobHPBaseNumber,mobHPMinValue,mobHPMaxValue,mobHPAverage,mobHPAffective,mobDamDieNumber,mobDamDieSize,mobDamBaseNumber,mobDamMinValue,mobDamMaxValue,mobDamAverage,mobDamAffective,mobHitCount,mobEXP,mobCoins,mobCoinEXP,mobTotalExp,mobExpPerEffectiveHP,mobPosition,mobDefaultPosition,mobSex,mobClass,mobImmune,NoSpecialAttackLines,attackType,attackTarget,attackPercent,attackSpell,mobHitType,mobAct2Flags,mobAffectedBy2Flags,mobImmune2Flags
"Tarion City, by Liner",128,12807," A Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,50,-10,-15,26,47,11000,11026,12222,11624,23248,4,2,94,98,102,100,100,1,2835000,0,0,2835000,121,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 5"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12808," a Paktat Chef"," chef paktat laktzatz"," A large paktat whistles as he dices vegetables into a steaming cookpot. ","  This paktat exists only in service to its fellows as the culinary expert.  Paktats, Good in every manner in their own culture, find that the taste of human is best served as a dish slightly warmed but as fresh as possible.  You appear to be the next culinary triumph at the Paktat dinner-table if you don't get out of here soon.  ",SENTINEL ISNPC STAY-ZONE SHIELD,SANCTUARY INFRAVISION,1000,Y,60,-25,-25,50,50,19000,19050,21500,20275,40550,50,50,100,150,2600,1375,1375,1,1500000,0,0,1500000,36,Standing,Standing,neutral,Lesser Demon,PUMMEL KICK PUNCH DISINTEGRATE CLAIR SUMMON,0,,,,,0,,,LOCATE
"Tarion City, by Liner",128,12809," The Tarion Magistrate"," magistrate tarion man"," A dying man lies here, clutching a message in one hand. ","  As you glance at this poor human, his eyes slowly leak bitter tears.  He is ancient, worn away by the years he has lain here dying.  Tarion had learned to harness the power of Good in order to slow aging, and this man must have been here forever by the look in his eyes reflecting the ruined surroundings.  Fear touches him as he warns you of the dangers that lurk here.  ",SENTINEL ISNPC STAY-ZONE,,1000,Y,60,-5,-20,1,1,0,1,1,1,1,5,5,2,7,27,17,17,1,1500,11,3,1503,1503,Standing,Standing,male,Human,DISINTEGRATE CLAIR SUMMON,0,,,,,0,,,LOCATE
"Tarion City, by Liner",128,12810," Tzyae Gaeastz"," Gaeastz paktat gaeirb"," A tzirh lomnlpae gaeirb sirbs yalliph tzu itzsaepv or itzs vpovvh tzymnurae. ","  Pamnbae, irrukaertz aehaes baxxae olur huo mitzy pufae art atumnatziur.  Tzyis is tzyae Laktzatz kmnaeatzumn art mnopaemn, huorb gotz misae gaehurt app aetzaemnritzh.  Itzs Krumpaetbae, yumaefaemn, kursistzs urph uv Buut art itzs mipp is su bmnaeatz tzyatz itz yas warabaet tzu skaem tzyae gaparkae uv Buut yaemnae, kippirb Tzamniur mitzy itzs kirtraess.  Ir itzs yaeamntz pah app tzyae buut irtzaertziurs uv a huorb kyipt, gotz tzyae wabikap pumaemn mnifappirb aefaer tzyatz uv tzyae aefip mnopaemns ir pumaemns Orifaemnsaes.  Tzyae Gaeastz aezistzs ur warh paefaeps, art yas kuwae tzu fartchoisy tzyae aefip yowars uv tzyis litzivop mumnpt. Itz yupts ru qotbaewaertz vumn aefip umn buut, urph taestzmnoktziur art kpaearsirb uv app.  Itz bmnasls tzyae kaeh tzu tzyae lumaemn uv tzyae Ollaemn Orifaemnsae.  ",SENTINEL ISNPC STAY-ZONE MEMORY SHIELD,DETECT-ALIGNMENT DETECT-INVISIBLE DETECT-MAGIC SENSE-LIFE SANCTUARY SPHERE PROTECT-EVIL INFRAVISION DODGE DUAL,1000,Y,65,-25,-16,30,50,16551,16581,18051,17316,34632,1,2,1,2,3,2.5,3.25,1.3,1658000,0,0,1658000,47,Standing,Standing,neutral,Greater Demon,FIRE ELECTRIC POISON SLEEP CHARM BLINDNESS PARALYSIS DRAIN DISINTEGRATE CLAIR SUMMON BLUDGEON PIERCE SLASH WHIP CLAW BITE STING CRUSH HACK CHOP SLICE BACKSTAB AMBUSH ASSAULT,1," SPELL CAST"," BUFFER"," 5"," disenchant",0,,,LOCATE COLD SOUND CHEMICAL ACID
"Tarion City, by Liner",128,12811," The Mankey"," mankey pet"," A cherished pet of the Paktats, this mankey likes to party! ","  This appears to be a strange looking man-beast, mankey with a bad attitude.  It flies about the room, urinating on things and being a general pest to all that enter.  Of course, it's a wonderful pet, and it loves to party with you.  ",SENTINEL ISNPC STAY-ZONE,SANCTUARY PROTECT-EVIL INFRAVISION DODGE,500,Y,43,-10,-10,26,45,5899,5925,7069,6497,12994,10,2,20,30,40,35,35,1,1010101,0,0,1010101,77,Standing,Standing,male,Simian,DISINTEGRATE CLAIR SUMMON,1," BITE"," RAN_ROOM"," 10"," ",0,,,LOCATE
"Tarion City, by Liner",128,12812," A Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,49,-15,-15,20,40,14500,14520,15300,14910,29820,4,2,32,36,40,38,38,1,2555000,0,0,2555000,85,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 3"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12813," A Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,49,-15,-15,20,40,14500,14520,15300,14910,29820,4,2,32,36,40,38,38,1,2555000,0,0,2555000,85,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 3"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12814," a Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,49,-15,-15,20,41,14000,14020,14820,14420,28840,4,2,40,44,48,46,46,1,2615000,0,0,2615000,90,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 3"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12815," a Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,49,-15,-15,20,41,14000,14020,14820,14420,28840,4,2,40,44,48,46,46,1,2615000,0,0,2615000,90,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 3"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12816," a Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,49,-15,-15,21,42,13500,13521,14382,13951.5,27903,4,2,48,52,56,54,54,1,2655000,0,0,2655000,95,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 3"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12817," a Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,49,-15,-15,21,42,13500,13521,14382,13951.5,27903,4,2,48,52,56,54,54,1,2655000,0,0,2655000,95,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 3"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12818," a Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,49,-15,-15,22,43,13000,13022,13946,13484,26968,4,2,58,62,66,64,64,1,2725000,0,0,2725000,101,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 3"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12819," a Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,49,-15,-15,22,43,13000,13022,13946,13484,26968,4,2,58,62,66,64,64,1,2725000,0,0,2725000,101,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 3"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12820," a Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,50,-15,-15,23,44,12500,12523,13512,13017.5,26035,4,2,68,72,76,74,74,1,2765000,0,0,2765000,106,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 3"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12821," a Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,50,-15,-15,23,44,12500,12523,13512,13017.5,26035,4,2,68,72,76,74,74,1,2765000,0,0,2765000,106,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 3"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12822," A Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,50,-15,-15,24,45,12000,12024,13080,12552,25104,4,2,76,80,84,82,82,1,2785000,0,0,2785000,110,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 4"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12823," A Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,50,-15,-15,24,45,12000,12024,13080,12552,25104,4,2,76,80,84,82,82,1,2785000,0,0,2785000,110,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 4"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12824," a Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,50,-15,-15,25,46,11500,11525,12650,12087.5,24175,4,2,86,90,94,92,92,1,2815000,0,0,2815000,116,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 4"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12825," a Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,50,-15,-15,25,46,11500,11525,12650,12087.5,24175,4,2,86,90,94,92,92,1,2815000,0,0,2815000,116,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 4"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12826," A Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,50,-15,-15,26,47,11000,11026,12222,11624,23248,4,2,94,98,102,100,100,1,2835000,0,0,2835000,121,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 5"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12827," A Paktat"," paktat laktzatz creature"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,50,-15,-15,26,47,11000,11026,12222,11624,23248,4,2,94,98,102,100,100,1,2835000,0,0,2835000,121,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 5"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12828," A Paktat"," paktat laktzatz creature decoy"," A fuzzy purple creature hops toward you with an amiable grin. ","  You can't help but smile as you encounter this happy little fuzzball. It regards you with warmth, speaking in a strange language.  But be warned, these are the Minions of Good, and the unknowing destroyers of Tarion.  Untethered, their smothering kindness is devastating to all.  ",ISNPC STAY-ZONE OPEN-DOOR,SANCTUARY INFRAVISION SNEAK,1000,Y,30,-10,-15,26,47,11000,11026,12222,11624,23248,4,2,94,98,102,100,100,1,2835000,0,0,2835000,121,Standing,Standing,neutral,Lesser Demon,DISINTEGRATE CLAIR SUMMON,1," SPELL CAST"," RAN_ROOM"," 5"," disenchant",0,,,LOCATE
"Tarion City, by Liner",128,12829," The Mankey"," mankey pet decoy"," A cherished pet of the Paktats, this mankey likes to party! ","  This appears to be a strange looking man-beast, mankey with a bad attitude.  It flies about the room, urinating on things and being a general pest to all that enter.  Of course, it's a wonderful pet, and it loves to party with you.  ",SENTINEL ISNPC STAY-ZONE,SANCTUARY PROTECT-EVIL INFRAVISION DODGE,500,Y,30,-10,-10,26,45,5899,5925,7069,6497,12994,10,2,20,30,40,35,35,1,1010101,0,0,1010101,77,Standing,Standing,male,Simian,DISINTEGRATE CLAIR SUMMON,1," BITE"," RAN_ROOM"," 10"," ",0,,,LOCATE
"Tarion City, by Liner",128,12830," Tzyae Gaeastz"," Gaeastz paktat gaeirb decoy"," A tzirh lomnlpae gaeirb sirbs yalliph tzu itzsaepv or itzs vpovvh tzymnurae. ","  Pamnbae, irrukaertz aehaes baxxae olur huo mitzy pufae art atumnatziur.  Tzyis is tzyae Laktzatz kmnaeatzumn art mnopaemn, huorb gotz misae gaehurt app aetzaemnritzh.  Itzs Krumpaetbae, yumaefaemn, kursistzs urph uv Buut art itzs mipp is su bmnaeatz tzyatz itz yas warabaet tzu skaem tzyae gaparkae uv Buut yaemnae, kippirb Tzamniur mitzy itzs kirtraess.  Ir itzs yaeamntz pah app tzyae buut irtzaertziurs uv a huorb kyipt, gotz tzyae wabikap pumaemn mnifappirb aefaer tzyatz uv tzyae aefip mnopaemns ir pumaemns Orifaemnsaes.  Tzyae Gaeastz aezistzs ur warh paefaeps, art yas kuwae tzu fartchoisy tzyae aefip yowars uv tzyis litzivop mumnpt. Itz yupts ru qotbaewaertz vumn aefip umn buut, urph taestzmnoktziur art kpaearsirb uv app.  Itz bmnasls tzyae kaeh tzu tzyae lumaemn uv tzyae Ollaemn Orifaemnsae.  ",SENTINEL ISNPC STAY-ZONE MEMORY SHIELD,DETECT-ALIGNMENT DETECT-INVISIBLE DETECT-MAGIC SENSE-LIFE SANCTUARY SPHERE PROTECT-EVIL INFRAVISION DODGE DUAL,1000,Y,30,-10,-16,30,50,16551,16581,18051,17316,34632,1,2,1,2,3,2.5,3.25,1.3,1658000,0,0,1658000,47,Standing,Standing,neutral,Greater Demon,FIRE ELECTRIC POISON SLEEP CHARM BLINDNESS PARALYSIS DRAIN DISINTEGRATE CLAIR SUMMON BLUDGEON PIERCE SLASH WHIP CLAW BITE STING CRUSH HACK CHOP SLICE BACKSTAB AMBUSH ASSAULT,1," SPELL CAST"," BUFFER"," 5"," disenchant",0,,,LOCATE COLD SOUND CHEMICAL ACID
The Abyss revamp by Solmyr,250,25000," The Demi-Lich"," demi lich"," The Demi-Lich leaps from his throne as you enter the room, his evil eyes fixed dead upon you! "," The Demi-Lich is, perhaps, the single, most powerful undead creature known to exist. Greatly resembling a wight or mummy, gaunt and skeletal in form, it is nevertheless a being of foreboding might. Its eye sockets are black and empty, save for the fierce pinpoints of light which serve as eyes. An aura of cold and darkness radiates from it, which makes it an ominous and fearsome sight. Despite the wasted, rotten flesh, it is garbed in the rich clothes of nobility. ",SENTINEL SCAVENGER ISNPC AGGRESSIVE,DETECT-INVISIBLE SANCTUARY SPHERE INFRAVISION DUAL,-1000,Y,55,-17,-15,15,300,8000,8015,12500,10257.5,20515,5,10,250,255,300,277.5,360.75,1.3,2000000,1000000,333333,2333333,113,Standing,Standing,neutral,Lesser Undead,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25001," Keftab, the Ancient One"," keftab"," Keftab, the Ancient One stands here, calmly searching ceaselessly. "," A writhing, quivering mass of horrific, unspeakable flesh-like material, this ancient one stares coldly about through its many multifaceted eyes. Viscous, vile smelling liquid seeps through its flesh in many places, originating from the ghastly, crater like pores which pepper his body. Disgustingly, large portions of its flesh seem to bubble with an alien life of their own. The surface of its body, where not oozing, is covered with mottled, grey, mossy protrusions, like some strange malignant blemishes. It emits low, guttural mewlings from its fange, quivering orifice. ",SENTINEL SCAVENGER ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION,-1000,Y,55,-15,0,100,10,8000,8100,9000,8550,17100,30,8,0,30,240,135,135,1,1000000,900000,300000,1300000,76,Standing,Standing,neutral,Invertibrate,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25002," Crimson Death"," death crimson"," A crimson death materializes from a dense patch of mist. "," Its skeletal form is garbed in a robe of crimson; the blood of its many victims stain the robe. Its skeletal figure resembles that of the angel of death. Its eyes glow with a furious fire to kill. ",SPEC SENTINEL SCAVENGER ISNPC AGGRESSIVE STAY-ZONE,DETECT-INVISIBLE SANCTUARY SNEAK HIDE,-1000,Y,50,-15,-10,20,50,6000,6020,7000,6510,13020,5,10,150,155,200,177.5,177.5,1,400000,0,0,400000,30,Standing,Standing,neutral,Greater Undead,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25003," A Mist Daemon"," mist daemon"," A mist daemon hovers here, in a cloud of grey mist. "," A large, demon like creature hovers above you, in a cloud of grey mist. Its winged form stares down at you in utter hatred. ",SENTINEL SCAVENGER ISNPC AGGRESSIVE,HIDE FLY,-1000,Y,30,0,-6,6,12,2000,2006,2072,2039,2039,6,12,0,6,72,39,39,1,50000,10000,3333,53333,26,Standing,Standing,neutral,Lesser Demon,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25004," a Black Slayer"," black slayer"," A huge, shadowy figure materializes from the shadows around you. "," The black slayer is a shadowy figure, about 7 feet tall, garbed in a heavy, black cloak. In his right hand he wields a wicked dagger. ",SENTINEL SCAVENGER ISNPC AGGRESSIVE,DETECT-INVISIBLE INFRAVISION,-1000,Y,15,5,2,10,10,1000,1010,1100,1055,1055,1,6,18,19,24,21.5,21.5,1,21000,0,0,21000,19,Standing,Standing,male,Humanoid,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25005," a Lost Soul"," lost soul"," A ghostly apparition floats here, staring at you in utter hatred. "," The lost soul is a ghostly apparition, seeking revenge on the living. ",SENTINEL SCAVENGER ISNPC AGGRESSIVE,DETECT-INVISIBLE INFRAVISION,-1000,Y,10,10,0,1,10,400,401,410,405.5,405.5,1,10,5,6,15,10.5,10.5,1,12000,0,0,12000,29,Standing,Standing,neutral,Lesser Undead,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25006," a Storm Giant"," storm giant"," A storm giant stands here, angered by your presence. "," This huge creature is approximately 8 feet tall. He grasps a huge bolt of lightning in his right hand... He doesn't look happy to see you. ",SPEC SENTINEL SCAVENGER ISNPC AGGRESSIVE,DETECT-INVISIBLE INFRAVISION,-1000,Y,35,0,-4,7,10,1000,1007,1070,1038.5,1038.5,7,6,0,7,42,24.5,24.5,1,24000,10000,3333,27333,26,Standing,Standing,male,Humanoid,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25007," a White Gold Manticore"," white gold manticore"," A statuesque manticore stands here, crafted entirely of white gold. "," This beautifully crafted statue is formed entirely of white gold. Its eyes seem to watch your every move... It almost appears as if it is alive! ",SENTINEL SCAVENGER ISNPC,DETECT-INVISIBLE SANCTUARY,0,Y,12,9,-2,1,10,120,121,130,125.5,251,2,6,0,2,12,7,7,1,14000,0,0,14000,55,Standing,Standing,neutral,Lesser Giant,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25008," an Efreet"," flaming efreet"," A huge flaming figure stands here with a glint of evil in its eyes. "," The efreet is formed entirely of flames and gives off an intense heat. ",SENTINEL ISNPC AGGRESSIVE,INVUL,-1000,Y,35,-10,5,10,10,3000,3010,3100,3055,3055,5,8,20,25,60,42.5,42.5,1,400000,0,0,400000,130,Standing,Standing,neutral,Lesser Demon,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25009," the Hydra"," hydra"," A huge eight headed hydra is sleeping here "," This huge, scaled creature has eight heads, each capable of breathing a dangerous stream of fire. An amulet hangs around its central neck. ",SPEC SENTINEL SCAVENGER ISNPC AGGRESSIVE,DETECT-INVISIBLE INFRAVISION,-1000,Y,40,-10,-10,10,20,2500,2510,2700,2605,2605,12,2,70,82,94,88,88,1,500000,0,0,500000,191,Standing,Standing,neutral,Lesser Dragon,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25010," the kraken"," kraken"," A large squid-like creature erupts from the waters beneath you! "," This large creature is a close relative to the squid, but is much larger in size. Its huge tentacles grasp something, but you can't make out what it is grasping. ",SPEC SENTINEL ISNPC AGGRESSIVE STAY-ZONE,SANCTUARY DODGE DUAL,-1000,Y,55,-17,-15,10,100,9000,9010,10000,9505,19010,10,10,200,210,300,255,331.5,1.3,700000,0,0,700000,36,Standing,Standing,neutral,Invertibrate,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25011," the Treant"," treant tree"," A large tree-like creature reaches out for you with its many limbs. "," It is a rather large creature, resembling a tree. At the base of the trunk is a large opening that looks very much like a mouth. ",SENTINEL SCAVENGER ISNPC AGGRESSIVE,SANCTUARY,-1000,Y,35,-2,0,2,4,4000,4002,4008,4005,8010,2,6,20,22,32,27,27,1,120000,0,0,120000,14,Standing,Standing,neutral,Normal,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25012," a Githyanki"," githyanki"," A disgusting creature of ethereal nature stands here, its body completely wrapped in bandages. "," This man-sized creature is completely covered in bandages. Its eyes glow with a brilliant red fire and in its grasp is an extremely sharp blade of magical nature. ",SPEC SCAVENGER ISNPC STAY-ZONE WIMPY,DETECT-INVISIBLE INFRAVISION,-1000,Y,25,-4,-7,1,1,1700,1701,1701,1701,1701,3,8,12,15,36,25.5,25.5,1,120000,30000,10000,130000,76,Standing,Standing,neutral,Humanoid,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25013," Kalas"," kalas"," Kalas, the knight and guardian of the castle, stands here preparing himself for battle. "," Kalas is a large, muscular man. He is clad in a magical suit of armour. His sword is burning fiercely. ",SPEC SENTINEL ISNPC AGGRESSIVE,SANCTUARY DODGE DUAL,-1000,Y,52,-13,-10,10,100,5000,5010,6000,5505,11010,10,5,150,160,200,180,234,1.3,1000000,200000,66666,1066666,96,Standing,Standing,male,Greater Undead,,0,,,,,0,,,
The Abyss revamp by Solmyr,250,25014," the Death knight"," death knight"," The death knight stands here, preparing to do you in. "," This creature is the result of a powerful mage, animating the dead remains of a once mighty warrior. Its eyes are fixed coldly upon you. Unsheathing its sword, it charges for battle. ",SPEC SENTINEL SCAVENGER ISNPC AGGRESSIVE,SANCTUARY DODGE INVUL DUAL FURY,-1000,Y,50,-10,-5,30,5,4000,4030,4150,4090,8180,15,5,30,45,105,75,195,1.3,360000,150000,50000,410000,50,Standing,Standing,neutral,Lesser Undead,,0,,,,,0,,,
